start_time,peak_time,end_time,peak_flux,goes_class,duration_sec,background,date,peak_datetime
779283926.849435,779284242.850315,779284531.851115,1.0942322660412174e-05,M,606.0,3.6793558138015214e-06,2024-09-10,1994-09-11T11:50:42.850315+00:00
779304402.90639,779304708.907238,779304715.907256,3.6222672861185856e-06,C,314.0,1.1890901419064903e-07,2024-09-11,1994-09-11T17:31:48.907238+00:00
779325062.963665,779325340.964437,779325340.964437,4.501552211877424e-06,C,279.0,3.289842197773396e-06,2024-09-11,1994-09-11T23:15:40.964437+00:00
779329953.977265,779330207.977978,779330422.978575,1.8564258425612934e-05,M,470.0,4.5763626985717565e-06,2024-09-11,1994-09-12T00:36:47.977978+00:00
779339555.0040569,779339881.004969,779339966.0052049,1.4543235010933131e-05,M,412.0,4.055578301631613e-06,2024-09-11,1994-09-12T03:18:01.004969+00:00
779347397.026011,779347617.026623,779347797.027133,1.6522953956155106e-05,M,401.0,5.061152023699833e-06,2024-09-11,1994-09-12T05:26:57.026623+00:00
779348866.0301249,779349124.0308499,779349503.031911,2.0975297957193106e-05,M,638.0,6.4882051447057165e-06,2024-09-11,1994-09-12T05:52:04.030850+00:00
779371405.093045,779371898.094412,779371899.0944159,4.991380774299614e-05,M,495.0,2.1637664758600295e-05,2024-09-12,1994-09-12T12:11:38.094412+00:00
779380839.1192889,779381013.119776,779381113.120057,1.0009734069171827e-05,M,275.0,7.3600226642156485e-06,2024-09-12,1994-09-12T14:43:33.119776+00:00
779385711.132857,779385884.133336,779386099.13394,1.1250346688029822e-05,M,389.0,7.141355581552489e-06,2024-09-12,1994-09-12T16:04:44.133336+00:00
779390829.1470729,779391060.1477189,779391199.1481,6.7083979047311004e-06,C,371.0,1.0618495593917032e-07,2024-09-12,1994-09-12T17:31:00.147719+00:00
779393419.1542369,779393898.155561,779394318.1567199,2.7747058993554674e-05,M,900.0,5.868091193406144e-06,2024-09-12,1994-09-12T18:18:18.155561+00:00
779402050.178124,779402294.178797,779402319.178867,8.671348041389138e-06,C,270.0,6.0129218582005706e-06,2024-09-12,1994-09-12T20:38:14.178797+00:00
779405660.1881399,779406238.1897479,779406589.190719,0.00012976666039321572,X,930.0,7.1018203016137704e-06,2024-09-12,1994-09-12T21:43:58.189748+00:00
779423895.2389079,779424199.239759,779424336.240143,7.105027907527983e-05,M,442.0,6.587018560821889e-06,2024-09-12,1994-09-13T02:43:19.239759+00:00
779460245.3404549,779460724.341789,779460724.341789,1.2128431990277022e-05,M,480.0,1.0283048140991013e-05,2024-09-13,1994-09-13T12:52:04.341789+00:00
779460845.342126,779461009.3425759,779461084.342785,1.522684488008963e-05,M,240.0,1.3352301721170079e-05,2024-09-13,1994-09-13T12:56:49.342576+00:00
779464805.353138,779465016.353732,779465164.3541399,1.3439565918815788e-05,M,360.0,1.2213726222398691e-05,2024-09-13,1994-09-13T14:03:36.353732+00:00
779477248.3877519,779477499.388449,779477521.388508,1.870153755589854e-05,M,274.0,1.4106559831361665e-07,2024-09-13,1994-09-13T17:31:39.388449+00:00
779481878.400543,779482433.402081,779482433.402081,5.304851947585121e-05,M,556.0,1.5509231161559e-05,2024-09-13,1994-09-13T18:53:53.402081+00:00
779487535.416202,779487779.416878,779487779.416878,2.6383078875369392e-05,M,245.0,2.013646917475853e-05,2024-09-13,1994-09-13T20:22:59.416878+00:00
779511696.4834429,779512003.4843019,779512003.4843019,1.2744313607981894e-05,M,308.0,7.9041010394576e-06,2024-09-13,1994-09-14T03:06:43.484302+00:00
779521979.51225,779522173.5127909,779522434.5135269,1.4418484170164447e-05,M,456.0,7.834843927412294e-06,2024-09-13,1994-09-14T05:56:13.512791+00:00
779532324.5411919,779532533.5417789,779532563.541863,1.143716144724749e-05,M,240.0,8.740521479921881e-06,2024-09-13,1994-09-14T08:48:53.541779+00:00
779563662.6284239,779563875.629017,779563951.629226,8.02654631115729e-06,C,290.0,1.0192087529503624e-07,2024-09-14,1994-09-14T17:31:15.629017+00:00
779571216.649302,779571676.6505779,779571725.650713,3.087536242674105e-05,M,510.0,7.943849595903885e-06,2024-09-14,1994-09-14T19:41:16.650578+00:00
779598957.7264769,779599655.728431,779599655.728431,0.00044241518480703235,X,699.0,4.984181941836141e-06,2024-09-14,1994-09-15T03:27:35.728431+00:00
779650087.8691269,779650334.8698109,779650455.8701459,1.8391308458376443e-06,C,369.0,1.0139222439420337e-07,2024-09-15,1994-09-15T17:32:14.869811+00:00
779683206.961107,779683684.9624419,779683684.9624419,1.764016133165569e-06,C,479.0,1.661138298914011e-06,2024-09-15,1994-09-16T02:48:04.962442+00:00
779684406.9644619,779684877.965783,779684884.9657999,1.8996813651028788e-06,C,479.0,1.7524275790492538e-06,2024-09-15,1994-09-16T03:07:57.965783+00:00
779685006.966143,779685239.9667829,779685245.966803,2.0032136944792e-06,C,240.0,1.9157475890096975e-06,2024-09-15,1994-09-16T03:13:59.966783+00:00
779693886.99102,779694125.991689,779694125.991689,1.9321878426126204e-06,C,240.0,1.5829966741875978e-06,2024-09-15,1994-09-16T05:42:05.991689+00:00
779699047.0057939,779699286.0063289,779699286.0063289,1.85183409939782e-06,C,240.0,1.7186955574288731e-06,2024-09-15,1994-09-16T07:08:06.006329+00:00
779702647.015553,779702886.016218,779702886.016218,1.6615177855783259e-06,C,240.0,1.567621438880451e-06,2024-09-15,1994-09-16T08:08:06.016218+00:00
779703007.016555,779703283.017323,779703284.017327,1.7129798379755812e-06,C,278.0,1.6615177855783259e-06,2024-09-15,1994-09-16T08:14:43.017323+00:00
779707207.0282849,779707680.029608,779707686.0296199,1.5908694876998197e-06,C,480.0,1.4590398222935619e-06,2024-09-15,1994-09-16T09:28:00.029608+00:00
779707807.029964,779707988.030466,779708046.0306209,4.05213995691156e-06,C,240.0,3.1279621452995343e-06,2024-09-15,1994-09-16T09:33:08.030466+00:00
779714407.048342,779714641.048988,779714646.049001,2.581467015261296e-06,C,240.0,2.0759614471899113e-06,2024-09-15,1994-09-16T11:24:01.048988+00:00
779714750.049291,779714992.049969,779714992.049969,3.8851053432154e-06,C,243.0,2.975066763610812e-06,2024-09-15,1994-09-16T11:29:52.049969+00:00
779721007.0667039,779721363.067693,779721486.0680369,2.175895360778668e-06,C,480.0,1.9010648202311131e-06,2024-09-16,1994-09-16T13:16:03.067693+00:00
779721607.068377,779721902.0691949,779722023.069535,6.294985723798163e-06,C,417.0,2.05347646442533e-06,2024-09-16,1994-09-16T13:25:02.069195+00:00
779722807.071705,779723046.072374,779723046.072374,3.5597049645730294e-06,C,240.0,2.872177901735995e-06,2024-09-16,1994-09-16T13:44:06.072374+00:00
779736502.1098009,779736773.1105529,779736850.110768,1.958948814717587e-06,C,349.0,1.1950466216603672e-07,2024-09-16,1994-09-16T17:32:53.110553+00:00
779765775.191033,779766198.1922189,779766198.1922189,4.183772034593858e-06,C,424.0,2.3894072000985034e-06,2024-09-16,1994-09-17T01:43:18.192219+00:00
779801767.2916399,779802545.293803,779802550.293818,8.13691622170154e-06,C,784.0,2.5544679829181405e-06,2024-09-16,1994-09-17T11:49:05.293803+00:00
779822909.3504469,779823126.3510469,779823263.3514279,1.271730297958129e-06,C,355.0,1.0798910921039351e-07,2024-09-17,1994-09-17T17:32:06.351047+00:00
779826658.3608099,779827094.36201,779827100.362029,4.283088856027462e-06,C,443.0,1.711520326352911e-06,2024-09-17,1994-09-17T18:38:14.362010+00:00
779848002.420027,779848393.4211179,779848445.421263,4.050260940857697e-06,C,444.0,1.7812308215070516e-06,2024-09-17,1994-09-18T00:33:13.421118+00:00
779871495.4857429,779871768.486503,779871777.486521,2.48462924901105e-06,C,283.0,1.7514586261313525e-06,2024-09-17,1994-09-18T07:02:48.486503+00:00
779896447.555283,779896669.5559059,779896686.555952,1.335056367679499e-06,C,240.0,1.230213456437923e-06,2024-09-18,1994-09-18T13:57:49.555906+00:00
779902643.572531,779903057.573684,779903072.573725,4.16222746935091e-06,C,430.0,1.643725795474893e-06,2024-09-18,1994-09-18T15:44:17.573684+00:00
779909307.5910499,779909619.591915,779909659.592023,1.1702248912115465e-06,C,353.0,1.0998621036151235e-07,2024-09-18,1994-09-18T17:33:39.591915+00:00
779995707.831664,779995998.832469,779996050.832611,1.3163286212147796e-06,C,344.0,1.0552948737085899e-07,2024-09-19,1994-09-19T17:33:18.832469+00:00
780031281.930488,780031571.9313029,780031571.9313029,2.556270374043379e-06,C,291.0,1.693842364147713e-06,2024-09-19,1994-09-20T03:26:11.931303+00:00
780054604.9957889,780054763.9962339,780054902.996625,2.4841385766194435e-06,C,299.0,1.5020821138023166e-06,2024-09-19,1994-09-20T09:52:43.996234+00:00
780082097.072272,780082425.073183,780082442.073228,1.0371035159550956e-06,C,346.0,1.0041972586805059e-07,2024-09-20,1994-09-20T17:33:45.073183+00:00
780115941.166269,780116246.167113,780116509.1678519,4.071573130204342e-06,C,569.0,1.4771657106393832e-06,2024-09-20,1994-09-21T02:57:26.167113+00:00
780168488.312909,780168657.313373,780168840.313883,1.1959026551267016e-06,C,353.0,1.0043871867537746e-07,2024-09-21,1994-09-21T17:30:57.313373+00:00
780254875.5535309,780255152.554291,780255230.554506,1.5074883776833303e-06,C,356.0,1.1009084488478038e-07,2024-09-22,1994-09-22T17:32:32.554291+00:00
780283482.6328889,780283622.633273,780283763.633673,3.778549398703035e-06,C,282.0,1.997694425881491e-06,2024-09-22,1994-09-23T01:27:02.633273+00:00
780311959.712597,780312930.715305,780312930.715305,3.542998092598282e-05,M,972.0,2.359901372983586e-06,2024-09-22,1994-09-23T09:35:30.715305+00:00
780341251.7941079,780341566.794974,780341610.7950989,1.5872924450377468e-06,C,360.0,1.01706675081914e-07,2024-09-23,1994-09-23T17:32:46.794974+00:00
780357786.839875,780357974.8403959,780358120.84081,4.679622634284897e-06,C,335.0,1.8438231563777663e-06,2024-09-23,1994-09-23T22:06:14.840396+00:00
780373757.884354,780374314.885912,780374315.885914,7.261490736709675e-06,C,559.0,3.4406573377054883e-06,2024-09-23,1994-09-24T02:38:34.885912+00:00
780421193.0168179,780421738.0183359,780421738.0183359,6.455468792410102e-06,C,546.0,2.624352873681346e-06,2024-09-24,1994-09-24T15:48:58.018336+00:00
780427621.034684,780427794.0351659,780427966.035643,2.491854729669285e-06,C,346.0,1.1584407388909312e-07,2024-09-24,1994-09-24T17:29:54.035166+00:00
780442264.075199,780442475.0757879,780442642.076255,3.3788637665566057e-06,C,379.0,2.0429788492037915e-06,2024-09-24,1994-09-24T21:34:35.075788+00:00
780450039.096818,780450397.097816,780450442.09794,6.963805844861781e-06,C,404.0,2.8514953100966522e-06,2024-09-24,1994-09-24T23:46:37.097816+00:00
780513993.275322,780514182.275844,780514342.276287,2.5883546186378226e-06,C,350.0,1.0742184031187207e-07,2024-09-25,1994-09-25T17:29:42.275844+00:00
780577415.452145,780577951.453637,780578009.4537959,1.3414032764558215e-05,M,595.0,2.6133432129427092e-06,2024-09-25,1994-09-26T11:12:31.453637+00:00
780600354.5159819,780600698.5169339,780600728.517018,2.6302730020688614e-06,C,375.0,1.0479083556447222e-07,2024-09-26,1994-09-26T17:31:38.516934+00:00
780652010.6599729,780652173.66043,780652295.6607729,5.144283477420686e-06,C,286.0,3.341012870805571e-06,2024-09-26,1994-09-27T07:49:33.660430+00:00
780654988.668307,780655170.668815,780655375.669394,8.286647243949119e-06,C,388.0,3.101198217336787e-06,2024-09-26,1994-09-27T08:39:30.668815+00:00
780663893.693154,780664347.6944139,780664708.695423,1.4591529179597273e-05,M,816.0,4.043626177008264e-06,2024-09-26,1994-09-27T11:12:27.694414+00:00
780686721.756698,780687063.757645,780687069.757661,2.908834176196251e-06,C,349.0,1.1373258956837162e-07,2024-09-27,1994-09-27T17:31:03.757645+00:00
780695316.7804459,780695923.782135,780695923.782135,9.604256774764508e-06,C,608.0,3.9140231820056215e-06,2024-09-27,1994-09-27T19:58:43.782135+00:00
780768369.984324,780768608.984988,780768608.984988,2.221629983978346e-06,C,240.0,2.1521727830986492e-06,2024-09-28,1994-09-28T16:10:08.984988+00:00
780773081.997422,780773306.998044,780773420.9983599,2.0527868400677107e-06,C,340.0,1.2461411813546874e-07,2024-09-28,1994-09-28T17:28:26.998044+00:00
780775636.0044769,780775873.005134,780775908.005227,3.8435273381765e-06,C,273.0,2.6770476324600168e-06,2024-09-28,1994-09-28T18:11:13.005134+00:00
780859438.238204,780859994.239739,780859994.239739,4.817284661839949e-06,C,557.0,1.1099623975496797e-07,2024-09-29,1994-09-29T17:33:14.239739+00:00
